"","REGION.TYPE","REGION","YEAR","WEEK","X..WEIGHTED.ILI","X.UNWEIGHTED.ILI","AGE.0.4","AGE.25.49","AGE.25.64","AGE.5.24","AGE.50.64","AGE.65","ILITOTAL","NUM..OF.PROVIDERS","TOTAL.PATIENTS"
"24","HHS Regions","Region 4",2015,42,1.03172,1.17088,487,323,,628,137,69,1644,308,140407
"25","HHS Regions","Region 5",2015,42,1.06391,1.15204,400,229,,494,105,84,1312,289,113885
"26","HHS Regions","Region 6",2015,42,3.19046,2.44396,657,585,,887,204,106,2439,268,99797
"27","HHS Regions","Region 7",2015,42,1.12273,1.12114,63,57,,89,20,22,251,78,22388
"28","HHS Regions","Region 8",2015,42,0.688796,0.880592,87,91,,138,19,15,350,122,39746
"29","HHS Regions","Region 9",2015,42,1.4943,1.43767,228,201,,495,108,124,1156,240,80408
"30","HHS Regions","Region 10",2015,42,0.550018,0.615385,29,17,,33,8,9,96,87,15600
"31","HHS Regions","Region 1",2015,43,0.767136,0.615777,69,26,,148,26,21,290,133,47095
"32","HHS Regions","Region 2",2015,43,1.10278,1.43604,701,317,,533,95,89,1735,201,120818
"33","HHS Regions","Region 3",2015,43,1.39535,1.42706,454,467,,740,168,110,1939,281,135874
"34","HHS Regions","Region 4",2015,43,1.07437,1.18018,490,284,,643,127,94,1638,305,138792
"35","HHS Regions","Region 5",2015,43,1.03624,1.13245,405,250,,510,121,91,1377,287,121595
"36","HHS Regions","Region 6",2015,43,3.09627,2.33874,588,535,,819,217,98,2257,268,96505
"37","HHS Regions","Region 7",2015,43,0.854524,0.926501,45,55,,70,24,15,209,82,22558
"38","HHS Regions","Region 8",2015,43,0.612608,0.84857,83,84,,143,22,17,349,123,41128
"39","HHS Regions","Region 9",2015,43,1.68057,1.64281,250,219,,502,112,154,1237,249,75298
"40","HHS Regions","Region 10",2015,43,0.853014,0.795309,50,18,,32,14,4,118,76,14837
"41","HHS Regions","Region 1",2015,44,0.923337,0.781094,88,66,,200,22,15,391,138,50058
"42","HHS Regions","Region 2",2015,44,1.21684,1.45903,728,316,,579,128,88,1839,203,126043
"43","HHS Regions","Region 3",2015,44,1.53198,1.6261,648,577,,852,161,125,2363,286,145317
"44","HHS Regions","Region 4",2015,44,1.08652,1.2214,504,347,,763,127,66,1807,315,147945
"45","HHS Regions","Region 5",2015,44,1.21233,1.32673,475,237,,626,107,88,1533,293,115547
"46","HHS Regions","Region 6",2015,44,3.04959,2.35048,659,497,,830,214,116,2316,271,98533
"47","HHS Regions","Region 7",2015,44,1.15375,1.22368,65,72,,89,30,20,276,79,22555
"48","HHS Regions","Region 8",2015,44,0.721433,1.12098,99,114,,196,27,21,457,121,40768
"49","HHS Regions","Region 9",2015,44,1.85319,1.77303,302,217,,608,113,150,1390,261,78397
"50","HHS Regions","Region 10",2015,44,0.526763,0.545378,19,14,,32,8,5,78,87,14302
"51","HHS Regions","Region 1",2015,45,0.767975,0.731683,99,65,,164,17,23,368,140,50295
"52","HHS Regions","Region 2",2015,45,1.07336,1.46322,735,276,,570,114,99,1794,200,122606
"53","HHS Regions","Region 3",2015,45,1.57587,1.63328,606,581,,805,167,116,2275,283,139290
"54","HHS Regions","Region 4",2015,45,1.15319,1.25855,509,316,,701,124,86,1736,313,137937
