component_model_id,season,Model Week,weight
Historical Average,2016/2017,42,3.38171247062891e-06
Historical Average,2016/2017,43,3.38171247062891e-06
Historical Average,2016/2017,44,3.38171247062891e-06
Subtype Historical Average,2016/2017,40,0.161454369910519
Subtype Historical Average,2016/2017,41,0.161454369910519
Subtype Historical Average,2016/2017,42,0.161454369910519
Subtype Historical Average,2016/2017,43,0.161454369910519
Subtype Historical Average,2016/2017,44,0.161454369910519
Dynamic Harmonic Model,2017/2018,40,0.846615079972374
Dynamic Harmonic Model,2017/2018,41,0.846615079972374
Dynamic Harmonic Model,2017/2018,42,0.846615079972374
Dynamic Harmonic Model,2017/2018,43,0.846615079972374
Dynamic Harmonic Model,2017/2018,44,0.846615079972374
Historical Average,2017/2018,40,2.91262690056838e-06
Historical Average,2017/2018,41,2.91262690056838e-06
Historical Average,2017/2018,42,2.91262690056838e-06
Historical Average,2017/2018,43,2.91262690056838e-06
Historical Average,2017/2018,44,2.91262690056838e-06
Subtype Historical Average,2017/2018,40,0.153382007400726
Subtype Historical Average,2017/2018,41,0.153382007400726
Subtype Historical Average,2017/2018,42,0.153382007400726
Subtype Historical Average,2017/2018,43,0.153382007400726
Subtype Historical Average,2017/2018,44,0.153382007400726
Dynamic Harmonic Model,2010/2011,45,0.851358208396458
Dynamic Harmonic Model,2010/2011,46,0.851358208396458
Dynamic Harmonic Model,2010/2011,47,0.851358208396458
Dynamic Harmonic Model,2010/2011,48,0.851358208396458
Historical Average,2010/2011,45,9.72966350532347e-07
Historical Average,2010/2011,46,9.72966350532347e-07
Historical Average,2010/2011,47,9.72966350532347e-07
Historical Average,2010/2011,48,9.72966350532347e-07
Subtype Historical Average,2010/2011,45,0.148640818637192
Subtype Historical Average,2010/2011,46,0.148640818637192
Subtype Historical Average,2010/2011,47,0.148640818637192
Subtype Historical Average,2010/2011,48,0.148640818637192
Dynamic Harmonic Model,2011/2012,45,0.818820701672055
Dynamic Harmonic Model,2011/2012,46,0.818820701672055
Dynamic Harmonic Model,2011/2012,47,0.818820701672055
Dynamic Harmonic Model,2011/2012,48,0.818820701672055
Historical Average,2011/2012,45,1.08633027009516e-06
Historical Average,2011/2012,46,1.08633027009516e-06
Historical Average,2011/2012,47,1.08633027009516e-06
Historical Average,2011/2012,48,1.08633027009516e-06
Subtype Historical Average,2011/2012,45,0.181178211997675
Subtype Historical Average,2011/2012,46,0.181178211997675
Subtype Historical Average,2011/2012,47,0.181178211997675
Subtype Historical Average,2011/2012,48,0.181178211997675
Dynamic Harmonic Model,2012/2013,45,0.865048331619109
Dynamic Harmonic Model,2012/2013,46,0.865048331619109
Dynamic Harmonic Model,2012/2013,47,0.865048331619109
Dynamic Harmonic Model,2012/2013,48,0.865048331619109
Historical Average,2012/2013,45,1.14087470734861e-06
Historical Average,2012/2013,46,1.14087470734861e-06
Historical Average,2012/2013,47,1.14087470734861e-06
Historical Average,2012/2013,48,1.14087470734861e-06
Subtype Historical Average,2012/2013,45,0.134950527506184
Subtype Historical Average,2012/2013,46,0.134950527506184
Subtype Historical Average,2012/2013,47,0.134950527506184
Subtype Historical Average,2012/2013,48,0.134950527506184
Dynamic Harmonic Model,2013/2014,45,0.861168241085569
Dynamic Harmonic Model,2013/2014,46,0.861168241085569
Dynamic Harmonic Model,2013/2014,47,0.861168241085569
Dynamic Harmonic Model,2013/2014,48,0.861168241085569
Historical Average,2013/2014,45,2.20950632157933e-06
Historical Average,2013/2014,46,2.20950632157933e-06
Historical Average,2013/2014,47,2.20950632157933e-06
Historical Average,2013/2014,48,2.20950632157933e-06
Subtype Historical Average,2013/2014,45,0.138829549408109
Subtype Historical Average,2013/2014,46,0.138829549408109
Subtype Historical Average,2013/2014,47,0.138829549408109
Subtype Historical Average,2013/2014,48,0.138829549408109
Dynamic Harmonic Model,2014/2015,45,0.910874381513186
Dynamic Harmonic Model,2014/2015,46,0.910874381513186
Dynamic Harmonic Model,2014/2015,47,0.910874381513186
Dynamic Harmonic Model,2014/2015,48,0.910874381513186
Historical Average,2014/2015,45,6.59573718084484e-06
Historical Average,2014/2015,46,6.59573718084484e-06
Historical Average,2014/2015,47,6.59573718084484e-06
Historical Average,2014/2015,48,6.59573718084484e-06
Subtype Historical Average,2014/2015,45,0.089119022749633
Subtype Historical Average,2014/2015,46,0.089119022749633
