component_model_id,season,target,weight
Historical Average,2010/2011,3 wk ahead,1.04143537229898e-06
Subtype Historical Average,2010/2011,3 wk ahead,0.069679084891981
Dynamic Harmonic Model,2011/2012,3 wk ahead,0.912404116847286
Historical Average,2011/2012,3 wk ahead,1.11634688469356e-06
Subtype Historical Average,2011/2012,3 wk ahead,0.0875947668058294
Dynamic Harmonic Model,2012/2013,3 wk ahead,0.930321333504921
Historical Average,2012/2013,3 wk ahead,1.09075586498791e-06
Subtype Historical Average,2012/2013,3 wk ahead,0.0696775757392138
Dynamic Harmonic Model,2013/2014,3 wk ahead,0.946556197340526
Historical Average,2013/2014,3 wk ahead,2.06937601614395e-06
Subtype Historical Average,2013/2014,3 wk ahead,0.0534417332834579
Dynamic Harmonic Model,2014/2015,3 wk ahead,0.972984094674884
Historical Average,2014/2015,3 wk ahead,4.59241515721608e-06
Subtype Historical Average,2014/2015,3 wk ahead,0.0270113129099591
Dynamic Harmonic Model,2015/2016,3 wk ahead,0.93313887653472
Historical Average,2015/2016,3 wk ahead,9.34396599030136e-07
Subtype Historical Average,2015/2016,3 wk ahead,0.0668601890686813
Dynamic Harmonic Model,2016/2017,3 wk ahead,0.925493750234135
Historical Average,2016/2017,3 wk ahead,1.02399791122953e-06
Subtype Historical Average,2016/2017,3 wk ahead,0.0745052257679536
Dynamic Harmonic Model,2017/2018,3 wk ahead,0.93972172724664
Historical Average,2017/2018,3 wk ahead,7.76557693167859e-07
Subtype Historical Average,2017/2018,3 wk ahead,0.0602774961956672
Dynamic Harmonic Model,2010/2011,4 wk ahead,0.870151882887835
Historical Average,2010/2011,4 wk ahead,1.3971276920886e-06
Subtype Historical Average,2010/2011,4 wk ahead,0.129846719984473
Dynamic Harmonic Model,2011/2012,4 wk ahead,0.84386581377345
Historical Average,2011/2012,4 wk ahead,1.38012130731105e-06
Subtype Historical Average,2011/2012,4 wk ahead,0.156132806105242
Dynamic Harmonic Model,2012/2013,4 wk ahead,0.872925968216416
Historical Average,2012/2013,4 wk ahead,1.35430908540871e-06
Subtype Historical Average,2012/2013,4 wk ahead,0.127072677474499
Dynamic Harmonic Model,2013/2014,4 wk ahead,0.893040158386671
Historical Average,2013/2014,4 wk ahead,3.01998695226748e-06
Subtype Historical Average,2013/2014,4 wk ahead,0.106956821626377
Dynamic Harmonic Model,2014/2015,4 wk ahead,0.938736068589629
Historical Average,2014/2015,4 wk ahead,6.53593400300776e-06
Subtype Historical Average,2014/2015,4 wk ahead,0.0612573954763683
Dynamic Harmonic Model,2015/2016,4 wk ahead,0.872665294245374
Historical Average,2015/2016,4 wk ahead,1.22005881960697e-06
Subtype Historical Average,2015/2016,4 wk ahead,0.127333485695806
Dynamic Harmonic Model,2016/2017,4 wk ahead,0.858618600842556
Historical Average,2016/2017,4 wk ahead,1.33582747576147e-06
Subtype Historical Average,2016/2017,4 wk ahead,0.141380063329969
