component_model_id,season,Model Week,location,target,weight
Subtype Historical Average,2016/2017,45,HHS Region 1,1 wk ahead,0.000179505977076083
Historical Average,2017/2018,45,HHS Region 1,1 wk ahead,0.996984079160342
Subtype Historical Average,2017/2018,45,HHS Region 1,1 wk ahead,0.00301592083965754
Historical Average,2010/2011,46,HHS Region 1,1 wk ahead,0.999996720041945
Subtype Historical Average,2010/2011,46,HHS Region 1,1 wk ahead,3.27995805519012e-06
Historical Average,2011/2012,46,HHS Region 1,1 wk ahead,0.999995583191146
Subtype Historical Average,2011/2012,46,HHS Region 1,1 wk ahead,4.41680885389699e-06
Historical Average,2012/2013,46,HHS Region 1,1 wk ahead,0.999996734635703
Subtype Historical Average,2012/2013,46,HHS Region 1,1 wk ahead,3.26536429704382e-06
Historical Average,2013/2014,46,HHS Region 1,1 wk ahead,0.999997997849453
Subtype Historical Average,2013/2014,46,HHS Region 1,1 wk ahead,2.00215054700625e-06
Historical Average,2014/2015,46,HHS Region 1,1 wk ahead,0.9999973546263
Subtype Historical Average,2014/2015,46,HHS Region 1,1 wk ahead,2.64537370000376e-06
Historical Average,2015/2016,46,HHS Region 1,1 wk ahead,0.999997331244867
Subtype Historical Average,2015/2016,46,HHS Region 1,1 wk ahead,2.66875513333973e-06
Historical Average,2016/2017,46,HHS Region 1,1 wk ahead,0.999997408286488
Subtype Historical Average,2016/2017,46,HHS Region 1,1 wk ahead,2.59171351222228e-06
Historical Average,2017/2018,46,HHS Region 1,1 wk ahead,0.999961767494132
Subtype Historical Average,2017/2018,46,HHS Region 1,1 wk ahead,3.82325058675841e-05
Historical Average,2010/2011,47,HHS Region 1,1 wk ahead,0.999993481961069
Subtype Historical Average,2010/2011,47,HHS Region 1,1 wk ahead,6.51803893126993e-06
Historical Average,2011/2012,47,HHS Region 1,1 wk ahead,0.999996517262806
Subtype Historical Average,2011/2012,47,HHS Region 1,1 wk ahead,3.48273719354973e-06
