component_model_id,season,Model Week,weight
Historical Average,2011/2012,46,0.167335039398649
Subtype Historical Average,2011/2012,46,0.832664960601351
Historical Average,2012/2013,46,0.160638605085741
Subtype Historical Average,2012/2013,46,0.839361394914259
Historical Average,2013/2014,46,0.561301166206893
Subtype Historical Average,2013/2014,46,0.438698833793107
Historical Average,2014/2015,46,0.630445916357966
Subtype Historical Average,2014/2015,46,0.369554083642034
Historical Average,2015/2016,46,0.241325827200371
Subtype Historical Average,2015/2016,46,0.758674172799629
Historical Average,2016/2017,46,0.224235482806563
Subtype Historical Average,2016/2017,46,0.775764517193437
Historical Average,2017/2018,46,2.85054241370311e-05
Subtype Historical Average,2017/2018,46,0.999971494575863
Historical Average,2010/2011,47,0.15354814063524
Subtype Historical Average,2010/2011,47,0.84645185936476
Historical Average,2011/2012,47,0.160997472875257
Subtype Historical Average,2011/2012,47,0.839002527124743
Historical Average,2012/2013,47,0.148709578963215
Subtype Historical Average,2012/2013,47,0.851290421036785
Historical Average,2013/2014,47,0.488366581407858
Subtype Historical Average,2013/2014,47,0.511633418592142
Historical Average,2014/2015,47,0.598798930371165
Subtype Historical Average,2014/2015,47,0.401201069628835
Historical Average,2015/2016,47,0.216347499549847
Subtype Historical Average,2015/2016,47,0.783652500450153
Historical Average,2016/2017,47,0.202278095711493
Subtype Historical Average,2016/2017,47,0.797721904288507
Historical Average,2017/2018,47,1.53321582163355e-05
Subtype Historical Average,2017/2018,47,0.999984667841784
Historical Average,2010/2011,48,0.137525502206156
Subtype Historical Average,2010/2011,48,0.862474497793845
Historical Average,2011/2012,48,0.13806724450176
Subtype Historical Average,2011/2012,48,0.86193275549824
Historical Average,2012/2013,48,0.13386612617086
Subtype Historical Average,2012/2013,48,0.86613387382914
Historical Average,2013/2014,48,0.44809313710387
Subtype Historical Average,2013/2014,48,0.55190686289613
Historical Average,2014/2015,48,0.517465768096846
Subtype Historical Average,2014/2015,48,0.482534231903154
Historical Average,2015/2016,48,0.18565956559584
Subtype Historical Average,2015/2016,48,0.81434043440416
Historical Average,2016/2017,48,0.174317829405996
Subtype Historical Average,2016/2017,48,0.825682170594004
Historical Average,2017/2018,48,9.75060210043085e-06
Subtype Historical Average,2017/2018,48,0.9999902493979
Historical Average,2010/2011,49,0.159027599430306
Subtype Historical Average,2010/2011,49,0.840972400569694
Historical Average,2011/2012,49,0.16349281932862
Subtype Historical Average,2011/2012,49,0.83650718067138
Historical Average,2012/2013,49,0.160107144840501
Subtype Historical Average,2012/2013,49,0.839892855159499
Historical Average,2013/2014,49,0.428129536993129
Subtype Historical Average,2013/2014,49,0.571870463006871
Historical Average,2014/2015,49,0.506416684281332
Subtype Historical Average,2014/2015,49,0.493583315718668
Historical Average,2015/2016,49,0.198820871189583
Subtype Historical Average,2015/2016,49,0.801179128810417
Historical Average,2016/2017,49,0.189737112692076
Subtype Historical Average,2016/2017,49,0.810262887307924
Historical Average,2017/2018,49,2.06746260966972e-05
Subtype Historical Average,2017/2018,49,0.999979325373903
Historical Average,2010/2011,50,0.274200396853121
Subtype Historical Average,2010/2011,50,0.725799603146879
Historical Average,2011/2012,50,0.259843381578401
Subtype Historical Average,2011/2012,50,0.740156618421599
Historical Average,2012/2013,50,0.272891517683868
Subtype Historical Average,2012/2013,50,0.727108482316132
Historical Average,2013/2014,50,0.532398714545074
Subtype Historical Average,2013/2014,50,0.467601285454926
Historical Average,2014/2015,50,0.570539573418238
Subtype Historical Average,2014/2015,50,0.429460426581762
Historical Average,2015/2016,50,0.295313277167741
Subtype Historical Average,2015/2016,50,0.704686722832259
Historical Average,2016/2017,50,0.288645564890902
Subtype Historical Average,2016/2017,50,0.711354435109098
Historical Average,2017/2018,50,0.000148316208670127
Subtype Historical Average,2017/2018,50,0.99985168379133
Historical Average,2010/2011,51,0.421562361774749
Subtype Historical Average,2010/2011,51,0.578437638225251
Historical Average,2011/2012,51,0.399270928562018
Subtype Historical Average,2011/2012,51,0.600729071437982
Historical Average,2012/2013,51,0.381871778879733
Subtype Historical Average,2012/2013,51,0.618128221120267
Historical Average,2013/2014,51,0.695976274580239
Subtype Historical Average,2013/2014,51,0.304023725419761
Historical Average,2014/2015,51,0.700578704540735
Subtype Historical Average,2014/2015,51,0.299421295459265
Historical Average,2015/2016,51,0.435604764136876
Subtype Historical Average,2015/2016,51,0.564395235863124
Historical Average,2016/2017,51,0.429054404938309
Subtype Historical Average,2016/2017,51,0.570945595061691
Historical Average,2017/2018,51,0.057189141533552
Subtype Historical Average,2017/2018,51,0.942810858466448
Historical Average,2010/2011,52,0.554073698122018
Subtype Historical Average,2010/2011,52,0.445926301877982
Historical Average,2011/2012,52,0.530454257193827
Subtype Historical Average,2011/2012,52,0.469545742806173
Historical Average,2012/2013,52,0.511380976552377
Subtype Historical Average,2012/2013,52,0.488619023447623
Historical Average,2013/2014,52,0.824358189123117
Subtype Historical Average,2013/2014,52,0.175641810876883
Historical Average,2014/2015,52,0.856578113870702
Subtype Historical Average,2014/2015,52,0.143421886129298
Historical Average,2015/2016,52,0.566966610986371
Subtype Historical Average,2015/2016,52,0.433033389013629
Historical Average,2016/2017,52,0.558203869221475
Subtype Historical Average,2016/2017,52,0.441796130778525
Historical Average,2017/2018,52,0.0852669135858365
Subtype Historical Average,2017/2018,52,0.914733086414164
Historical Average,2010/2011,53,0.984954697021128
Subtype Historical Average,2010/2011,53,0.0150453029788716
Historical Average,2011/2012,53,0.944292273147866
Subtype Historical Average,2011/2012,53,0.0557077268521338
Historical Average,2012/2013,53,0.956495839783837
Subtype Historical Average,2012/2013,53,0.0435041602161627
Historical Average,2013/2014,53,0.999995368267021
Subtype Historical Average,2013/2014,53,4.63173297877404e-06
Historical Average,2014/2015,53,0.963320632026795
Subtype Historical Average,2014/2015,53,0.0366793679732055
Historical Average,2015/2016,53,0.978039602857534
Subtype Historical Average,2015/2016,53,0.0219603971424659
Historical Average,2016/2017,53,0.963672486611355
Subtype Historical Average,2016/2017,53,0.0363275133886446
Historical Average,2017/2018,53,0.241978163042869
Subtype Historical Average,2017/2018,53,0.758021836957131
Historical Average,2010/2011,54,0.716496258143546
