component_model_id,season,target,weight
Subtype Historical Average,2017/2018,Season onset,0.20928077036547
Subtype Historical Average,2017/2018,Season peak week,0.20928077036547
Subtype Historical Average,2017/2018,Season peak percentage,0.20928077036547
Dynamic Harmonic Model,2018/2019,Season onset,0.792633875553842
Dynamic Harmonic Model,2018/2019,Season peak week,0.792633875553842
Dynamic Harmonic Model,2018/2019,Season peak percentage,0.792633875553842
Historical Average,2018/2019,Season onset,6.20457423221121e-05
Historical Average,2018/2019,Season peak week,6.20457423221121e-05
Historical Average,2018/2019,Season peak percentage,6.20457423221121e-05
Subtype Historical Average,2018/2019,Season onset,0.207304078703836
Subtype Historical Average,2018/2019,Season peak week,0.207304078703836
Subtype Historical Average,2018/2019,Season peak percentage,0.207304078703836
Dynamic Harmonic Model,2010/2011,1 wk ahead,0.950507164717518
Dynamic Harmonic Model,2010/2011,2 wk ahead,0.950507164717518
Dynamic Harmonic Model,2010/2011,3 wk ahead,0.950507164717518
Dynamic Harmonic Model,2010/2011,4 wk ahead,0.950507164717518
Historical Average,2010/2011,1 wk ahead,0.0258080595731311
Historical Average,2010/2011,2 wk ahead,0.0258080595731311
Historical Average,2010/2011,3 wk ahead,0.0258080595731311
Historical Average,2010/2011,4 wk ahead,0.0258080595731311
Subtype Historical Average,2010/2011,1 wk ahead,0.0236847757093507
Subtype Historical Average,2010/2011,2 wk ahead,0.0236847757093507
Subtype Historical Average,2010/2011,3 wk ahead,0.0236847757093507
Subtype Historical Average,2010/2011,4 wk ahead,0.0236847757093507
Dynamic Harmonic Model,2011/2012,1 wk ahead,0.945725273951367
Dynamic Harmonic Model,2011/2012,2 wk ahead,0.945725273951367
Dynamic Harmonic Model,2011/2012,3 wk ahead,0.945725273951367
Dynamic Harmonic Model,2011/2012,4 wk ahead,0.945725273951367
Historical Average,2011/2012,1 wk ahead,0.0241829828586682
Historical Average,2011/2012,2 wk ahead,0.0241829828586682
Historical Average,2011/2012,3 wk ahead,0.0241829828586682
Historical Average,2011/2012,4 wk ahead,0.0241829828586682
Subtype Historical Average,2011/2012,1 wk ahead,0.0300917431899653
Subtype Historical Average,2011/2012,2 wk ahead,0.0300917431899653
Subtype Historical Average,2011/2012,3 wk ahead,0.0300917431899653
Subtype Historical Average,2011/2012,4 wk ahead,0.0300917431899653
Dynamic Harmonic Model,2012/2013,1 wk ahead,0.952607789958558
Dynamic Harmonic Model,2012/2013,2 wk ahead,0.952607789958558
Dynamic Harmonic Model,2012/2013,3 wk ahead,0.952607789958558
Dynamic Harmonic Model,2012/2013,4 wk ahead,0.952607789958558
Historical Average,2012/2013,1 wk ahead,0.0247819271673024
Historical Average,2012/2013,2 wk ahead,0.0247819271673024
Historical Average,2012/2013,3 wk ahead,0.0247819271673024
Historical Average,2012/2013,4 wk ahead,0.0247819271673024
Subtype Historical Average,2012/2013,1 wk ahead,0.0226102828741398
Subtype Historical Average,2012/2013,2 wk ahead,0.0226102828741398
Subtype Historical Average,2012/2013,3 wk ahead,0.0226102828741398
Subtype Historical Average,2012/2013,4 wk ahead,0.0226102828741398
Dynamic Harmonic Model,2013/2014,1 wk ahead,0.951697194619332
