component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2015/2016,41,Season peak percentage,0.754892234527159
Historical Average,2015/2016,41,Season onset,2.42946525141522e-06
Historical Average,2015/2016,41,Season peak week,2.42946525141522e-06
Historical Average,2015/2016,41,Season peak percentage,2.42946525141522e-06
Subtype Historical Average,2015/2016,41,Season onset,0.24510533600759
Subtype Historical Average,2015/2016,41,Season peak week,0.24510533600759
Subtype Historical Average,2015/2016,41,Season peak percentage,0.24510533600759
Dynamic Harmonic Model,2016/2017,41,Season onset,0.642038821952515
Dynamic Harmonic Model,2016/2017,41,Season peak week,0.642038821952515
Dynamic Harmonic Model,2016/2017,41,Season peak percentage,0.642038821952515
Historical Average,2016/2017,41,Season onset,2.31049408197693e-06
Historical Average,2016/2017,41,Season peak week,2.31049408197693e-06
Historical Average,2016/2017,41,Season peak percentage,2.31049408197693e-06
Subtype Historical Average,2016/2017,41,Season onset,0.357958867553403
Subtype Historical Average,2016/2017,41,Season peak week,0.357958867553403
Subtype Historical Average,2016/2017,41,Season peak percentage,0.357958867553403
Dynamic Harmonic Model,2017/2018,41,Season onset,0.634207416512293
Dynamic Harmonic Model,2017/2018,41,Season peak week,0.634207416512293
Dynamic Harmonic Model,2017/2018,41,Season peak percentage,0.634207416512293
Historical Average,2017/2018,41,Season onset,1.93374894847167e-06
Historical Average,2017/2018,41,Season peak week,1.93374894847167e-06
Historical Average,2017/2018,41,Season peak percentage,1.93374894847167e-06
Subtype Historical Average,2017/2018,41,Season onset,0.365790649738758
Subtype Historical Average,2017/2018,41,Season peak week,0.365790649738758
Subtype Historical Average,2017/2018,41,Season peak percentage,0.365790649738758
Dynamic Harmonic Model,2010/2011,42,Season onset,0.663647849950252
Dynamic Harmonic Model,2010/2011,42,Season peak week,0.663647849950252
Dynamic Harmonic Model,2010/2011,42,Season peak percentage,0.663647849950252
Historical Average,2010/2011,42,Season onset,2.00768993741008e-06
Historical Average,2010/2011,42,Season peak week,2.00768993741008e-06
Historical Average,2010/2011,42,Season peak percentage,2.00768993741008e-06
Subtype Historical Average,2010/2011,42,Season onset,0.33635014235981
Subtype Historical Average,2010/2011,42,Season peak week,0.33635014235981
Subtype Historical Average,2010/2011,42,Season peak percentage,0.33635014235981
Dynamic Harmonic Model,2011/2012,42,Season onset,0.494182135037145
Dynamic Harmonic Model,2011/2012,42,Season peak week,0.494182135037145
Dynamic Harmonic Model,2011/2012,42,Season peak percentage,0.494182135037145
Historical Average,2011/2012,42,Season onset,2.09961345678038e-06
Historical Average,2011/2012,42,Season peak week,2.09961345678038e-06
Historical Average,2011/2012,42,Season peak percentage,2.09961345678038e-06
Subtype Historical Average,2011/2012,42,Season onset,0.505815765349398
Subtype Historical Average,2011/2012,42,Season peak week,0.505815765349398
Subtype Historical Average,2011/2012,42,Season peak percentage,0.505815765349398
Dynamic Harmonic Model,2012/2013,42,Season onset,0.681512457387158
Dynamic Harmonic Model,2012/2013,42,Season peak week,0.681512457387158
Dynamic Harmonic Model,2012/2013,42,Season peak percentage,0.681512457387158
Historical Average,2012/2013,42,Season onset,2.07521016759507e-06
Historical Average,2012/2013,42,Season peak week,2.07521016759507e-06
Historical Average,2012/2013,42,Season peak percentage,2.07521016759507e-06
Subtype Historical Average,2012/2013,42,Season onset,0.318485467402674
Subtype Historical Average,2012/2013,42,Season peak week,0.318485467402674
Subtype Historical Average,2012/2013,42,Season peak percentage,0.318485467402674
Dynamic Harmonic Model,2013/2014,42,Season onset,0.659286544997999
Dynamic Harmonic Model,2013/2014,42,Season peak week,0.659286544997999
Dynamic Harmonic Model,2013/2014,42,Season peak percentage,0.659286544997999
Historical Average,2013/2014,42,Season onset,4.50125550569408e-06
Historical Average,2013/2014,42,Season peak week,4.50125550569408e-06
Historical Average,2013/2014,42,Season peak percentage,4.50125550569408e-06
Subtype Historical Average,2013/2014,42,Season onset,0.340708953746495
Subtype Historical Average,2013/2014,42,Season peak week,0.340708953746495
Subtype Historical Average,2013/2014,42,Season peak percentage,0.340708953746495
Dynamic Harmonic Model,2014/2015,42,Season onset,0.744476412241026
Dynamic Harmonic Model,2014/2015,42,Season peak week,0.744476412241026
Dynamic Harmonic Model,2014/2015,42,Season peak percentage,0.744476412241026
Historical Average,2014/2015,42,Season onset,5.13229909478043e-06
Historical Average,2014/2015,42,Season peak week,5.13229909478043e-06
Historical Average,2014/2015,42,Season peak percentage,5.13229909478043e-06
Subtype Historical Average,2014/2015,42,Season onset,0.255518455459879
Subtype Historical Average,2014/2015,42,Season peak week,0.255518455459879
Subtype Historical Average,2014/2015,42,Season peak percentage,0.255518455459879
Dynamic Harmonic Model,2015/2016,42,Season onset,0.700866203868722
Dynamic Harmonic Model,2015/2016,42,Season peak week,0.700866203868722
Dynamic Harmonic Model,2015/2016,42,Season peak percentage,0.700866203868722
Historical Average,2015/2016,42,Season onset,1.76415753554892e-06
Historical Average,2015/2016,42,Season peak week,1.76415753554892e-06
Historical Average,2015/2016,42,Season peak percentage,1.76415753554892e-06
Subtype Historical Average,2015/2016,42,Season onset,0.299132031973743
Subtype Historical Average,2015/2016,42,Season peak week,0.299132031973743
Subtype Historical Average,2015/2016,42,Season peak percentage,0.299132031973743
Dynamic Harmonic Model,2016/2017,42,Season onset,0.609430190418171
Dynamic Harmonic Model,2016/2017,42,Season peak week,0.609430190418171
Dynamic Harmonic Model,2016/2017,42,Season peak percentage,0.609430190418171
Historical Average,2016/2017,42,Season onset,1.85166131453657e-06
Historical Average,2016/2017,42,Season peak week,1.85166131453657e-06
Historical Average,2016/2017,42,Season peak percentage,1.85166131453657e-06
Subtype Historical Average,2016/2017,42,Season onset,0.390567957920514
Subtype Historical Average,2016/2017,42,Season peak week,0.390567957920514
Subtype Historical Average,2016/2017,42,Season peak percentage,0.390567957920514
Dynamic Harmonic Model,2017/2018,42,Season onset,0.597428105315854
Dynamic Harmonic Model,2017/2018,42,Season peak week,0.597428105315854
Dynamic Harmonic Model,2017/2018,42,Season peak percentage,0.597428105315854
Historical Average,2017/2018,42,Season onset,1.66741544708733e-06
Historical Average,2017/2018,42,Season peak week,1.66741544708733e-06
Historical Average,2017/2018,42,Season peak percentage,1.66741544708733e-06
Subtype Historical Average,2017/2018,42,Season onset,0.402570227268698
Subtype Historical Average,2017/2018,42,Season peak week,0.402570227268698
Subtype Historical Average,2017/2018,42,Season peak percentage,0.402570227268698
Dynamic Harmonic Model,2010/2011,43,Season onset,0.683996513595686
Dynamic Harmonic Model,2010/2011,43,Season peak week,0.683996513595686
Dynamic Harmonic Model,2010/2011,43,Season peak percentage,0.683996513595686
Historical Average,2010/2011,43,Season onset,1.67167256305395e-06
Historical Average,2010/2011,43,Season peak week,1.67167256305395e-06
Historical Average,2010/2011,43,Season peak percentage,1.67167256305395e-06
Subtype Historical Average,2010/2011,43,Season onset,0.316001814731751
Subtype Historical Average,2010/2011,43,Season peak week,0.316001814731751
Subtype Historical Average,2010/2011,43,Season peak percentage,0.316001814731751
Dynamic Harmonic Model,2011/2012,43,Season onset,0.560525420065597
Dynamic Harmonic Model,2011/2012,43,Season peak week,0.560525420065597
Dynamic Harmonic Model,2011/2012,43,Season peak percentage,0.560525420065597
Historical Average,2011/2012,43,Season onset,2.06829769387129e-06
Historical Average,2011/2012,43,Season peak week,2.06829769387129e-06
Historical Average,2011/2012,43,Season peak percentage,2.06829769387129e-06
Subtype Historical Average,2011/2012,43,Season onset,0.439472511636709
