region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
States,Alabama,2019,42,527,1,5,1.14,0.19,0.95,2019-10-13
States,Alaska,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,Arizona,2019,42,249,2,3,2.01,0.8,1.2,2019-10-13
States,Arkansas,2019,42,109,0,1,0.92,0,0.92,2019-10-13
States,California,2019,42,1995,27,14,2.06,1.35,0.7,2019-10-13
States,Colorado,2019,42,530,5,6,2.08,0.94,1.13,2019-10-13
States,Connecticut,2019,42,473,3,0,0.63,0.63,0,2019-10-13
States,Delaware,2019,42,211,6,1,3.32,2.84,0.47,2019-10-13
States,District of Columbia,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,Florida,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,Georgia,2019,42,1020,11,14,2.45,1.08,1.37,2019-10-13
States,Hawaii,2019,42,288,9,7,5.56,3.13,2.43,2019-10-13
States,Idaho,2019,42,70,3,2,7.14,4.29,2.86,2019-10-13
States,Illinois,2019,42,256,0,0,0,0,0,2019-10-13
States,Indiana,2019,42,151,0,0,0,0,0,2019-10-13
States,Iowa,2019,42,278,0,0,0,0,0,2019-10-13
States,Kansas,2019,42,81,0,0,0,0,0,2019-10-13
States,Kentucky,2019,42,469,2,0,0.43,0.43,0,2019-10-13
States,Louisiana,2019,42,524,4,34,7.25,0.76,6.49,2019-10-13
States,Maine,2019,42,44,0,0,0,0,0,2019-10-13
States,Maryland,2019,42,181,1,1,1.1,0.55,0.55,2019-10-13
States,Massachusetts,2019,42,540,2,0,0.37,0.37,0,2019-10-13
States,Michigan,2019,42,1251,5,2,0.56,0.4,0.16,2019-10-13
States,Minnesota,2019,42,375,2,1,0.8,0.53,0.27,2019-10-13
States,Mississippi,2019,42,56,0,3,5.36,0,5.36,2019-10-13
States,Missouri,2019,42,929,0,0,0,0,0,2019-10-13
States,Montana,2019,42,109,0,1,0.92,0,0.92,2019-10-13
States,Nebraska,2019,42,77,0,0,0,0,0,2019-10-13
States,Nevada,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,New Hampshire,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,New Jersey,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,New Mexico,2019,42,297,0,0,0,0,0,2019-10-13
States,New York,2019,42,1559,4,2,0.38,0.26,0.13,2019-10-13
States,North Carolina,2019,42,222,1,1,0.9,0.45,0.45,2019-10-13
States,North Dakota,2019,42,162,0,5,3.09,0,3.09,2019-10-13
States,Ohio,2019,42,1475,2,5,0.47,0.14,0.34,2019-10-13
States,Oklahoma,2019,42,224,0,0,0,0,0,2019-10-13
States,Oregon,2019,42,991,8,2,1.01,0.81,0.2,2019-10-13
States,Pennsylvania,2019,42,292,0,0,0,0,0,2019-10-13
States,Rhode Island,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,South Carolina,2019,42,229,1,0,0.44,0.44,0,2019-10-13
States,South Dakota,2019,42,61,0,0,0,0,0,2019-10-13
States,Tennessee,2019,42,39,0,0,0,0,0,2019-10-13
States,Texas,2019,42,2179,22,60,3.76,1.01,2.75,2019-10-13
States,Utah,2019,42,467,5,1,1.28,1.07,0.21,2019-10-13
States,Vermont,2019,42,94,0,0,0,0,0,2019-10-13
States,Virginia,2019,42,283,1,0,0.35,0.35,0,2019-10-13
States,Washington,2019,42,970,13,4,1.75,1.34,0.41,2019-10-13
States,West Virginia,2019,42,422,1,0,0.24,0.24,0,2019-10-13
States,Wisconsin,2019,42,906,4,1,0.55,0.44,0.11,2019-10-13
States,Wyoming,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,Puerto Rico,2019,42,0,0,0,0,0,0,2019-10-13
States,Virgin Islands,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,New York City,2019,42,NA,NA,NA,NA,NA,NA,2019-10-13
States,Alabama,2019,43,529,0,16,3.02,0,3.02,2019-10-20
States,Alaska,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,Arizona,2019,43,265,2,4,2.26,0.75,1.51,2019-10-20
States,Arkansas,2019,43,122,1,2,2.46,0.82,1.64,2019-10-20
States,California,2019,43,1964,24,33,2.9,1.22,1.68,2019-10-20
States,Colorado,2019,43,541,6,2,1.48,1.11,0.37,2019-10-20
States,Connecticut,2019,43,560,5,0,0.89,0.89,0,2019-10-20
States,Delaware,2019,43,211,1,5,2.84,0.47,2.37,2019-10-20
States,District of Columbia,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,Florida,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,Georgia,2019,43,1139,16,34,4.39,1.4,2.99,2019-10-20
States,Hawaii,2019,43,346,9,3,3.47,2.6,0.87,2019-10-20
States,Idaho,2019,43,71,10,1,15.49,14.08,1.41,2019-10-20
States,Illinois,2019,43,332,2,1,0.9,0.6,0.3,2019-10-20
States,Indiana,2019,43,224,0,2,0.89,0,0.89,2019-10-20
States,Iowa,2019,43,244,0,0,0,0,0,2019-10-20
States,Kansas,2019,43,76,0,0,0,0,0,2019-10-20
States,Kentucky,2019,43,518,0,1,0.19,0,0.19,2019-10-20
States,Louisiana,2019,43,573,3,50,9.25,0.52,8.73,2019-10-20
States,Maine,2019,43,57,0,0,0,0,0,2019-10-20
States,Maryland,2019,43,231,0,2,0.87,0,0.87,2019-10-20
States,Massachusetts,2019,43,588,4,3,1.19,0.68,0.51,2019-10-20
States,Michigan,2019,43,1335,9,7,1.2,0.67,0.52,2019-10-20
States,Minnesota,2019,43,312,1,1,0.64,0.32,0.32,2019-10-20
