component_model_id,season,Model Week,location,target,weight
Historical Average,2018/2019,57,Virginia,2 wk ahead,1.21313275093712e-06
Historical Average,2018/2019,58,Virginia,2 wk ahead,1.21313275093712e-06
Historical Average,2018/2019,59,Virginia,2 wk ahead,1.21313275093712e-06
Historical Average,2018/2019,60,Virginia,2 wk ahead,1.21313275093712e-06
Subtype Historical Average,2018/2019,57,Virginia,2 wk ahead,8.86575028899306e-08
Subtype Historical Average,2018/2019,58,Virginia,2 wk ahead,8.86575028899306e-08
Subtype Historical Average,2018/2019,59,Virginia,2 wk ahead,8.86575028899306e-08
Subtype Historical Average,2018/2019,60,Virginia,2 wk ahead,8.86575028899306e-08
Dynamic Harmonic Model,2018/2019,61,Virginia,2 wk ahead,0.999999982258099
Dynamic Harmonic Model,2018/2019,62,Virginia,2 wk ahead,0.999999982258099
Dynamic Harmonic Model,2018/2019,63,Virginia,2 wk ahead,0.999999982258099
Dynamic Harmonic Model,2018/2019,64,Virginia,2 wk ahead,0.999999982258099
Historical Average,2018/2019,61,Virginia,2 wk ahead,1.6148011647736e-08
Historical Average,2018/2019,62,Virginia,2 wk ahead,1.6148011647736e-08
Historical Average,2018/2019,63,Virginia,2 wk ahead,1.6148011647736e-08
Historical Average,2018/2019,64,Virginia,2 wk ahead,1.6148011647736e-08
Subtype Historical Average,2018/2019,61,Virginia,2 wk ahead,1.5938889987285e-09
Subtype Historical Average,2018/2019,62,Virginia,2 wk ahead,1.5938889987285e-09
Subtype Historical Average,2018/2019,63,Virginia,2 wk ahead,1.5938889987285e-09
Subtype Historical Average,2018/2019,64,Virginia,2 wk ahead,1.5938889987285e-09
Dynamic Harmonic Model,2018/2019,65,Virginia,2 wk ahead,0.999999934052724
Dynamic Harmonic Model,2018/2019,66,Virginia,2 wk ahead,0.999999934052724
Dynamic Harmonic Model,2018/2019,67,Virginia,2 wk ahead,0.999999934052724
Dynamic Harmonic Model,2018/2019,68,Virginia,2 wk ahead,0.999999934052724
Historical Average,2018/2019,65,Virginia,2 wk ahead,1.49693226844706e-08
Historical Average,2018/2019,66,Virginia,2 wk ahead,1.49693226844706e-08
Historical Average,2018/2019,67,Virginia,2 wk ahead,1.49693226844706e-08
Historical Average,2018/2019,68,Virginia,2 wk ahead,1.49693226844706e-08
Subtype Historical Average,2018/2019,65,Virginia,2 wk ahead,5.09779531497577e-08
Subtype Historical Average,2018/2019,66,Virginia,2 wk ahead,5.09779531497577e-08
Subtype Historical Average,2018/2019,67,Virginia,2 wk ahead,5.09779531497577e-08
Subtype Historical Average,2018/2019,68,Virginia,2 wk ahead,5.09779531497577e-08
Dynamic Harmonic Model,2018/2019,69,Virginia,2 wk ahead,0.999999855630424
Dynamic Harmonic Model,2018/2019,70,Virginia,2 wk ahead,0.999999855630424
Dynamic Harmonic Model,2018/2019,71,Virginia,2 wk ahead,0.999999855630424
Dynamic Harmonic Model,2018/2019,72,Virginia,2 wk ahead,0.999999855630424
