component_model_id,season,Model Week,location,weight
Historical Average,2015/2016,52,Oregon,7.47392667962428e-08
Subtype Historical Average,2015/2016,52,Oregon,3.75142582427424e-08
Dynamic Harmonic Model,2016/2017,52,Oregon,0.9999998866502
Historical Average,2016/2017,52,Oregon,9.50437516509126e-08
Subtype Historical Average,2016/2017,52,Oregon,1.83060480510332e-08
Dynamic Harmonic Model,2017/2018,52,Oregon,0.999999567926759
Historical Average,2017/2018,52,Oregon,3.18708444703662e-07
Subtype Historical Average,2017/2018,52,Oregon,1.13364796564916e-07
Dynamic Harmonic Model,2014/2015,53,Oregon,0.999999523850224
Historical Average,2014/2015,53,Oregon,3.47896594562107e-07
Subtype Historical Average,2014/2015,53,Oregon,1.28253181797565e-07
Dynamic Harmonic Model,2015/2016,53,Oregon,0.999999778701983
Historical Average,2015/2016,53,Oregon,1.77265644346597e-07
Subtype Historical Average,2015/2016,53,Oregon,4.40323723547358e-08
Dynamic Harmonic Model,2016/2017,53,Oregon,0.999999883935503
Historical Average,2016/2017,53,Oregon,7.33354667299319e-08
Subtype Historical Average,2016/2017,53,Oregon,4.27290299366438e-08
Dynamic Harmonic Model,2017/2018,53,Oregon,0.92475735376155
Historical Average,2017/2018,53,Oregon,0.0741733664497347
Subtype Historical Average,2017/2018,53,Oregon,0.00106927978871557
Dynamic Harmonic Model,2014/2015,54,Oregon,0.99999996152031
Historical Average,2014/2015,54,Oregon,2.4317849078163e-08
Subtype Historical Average,2014/2015,54,Oregon,1.41618413667744e-08
Dynamic Harmonic Model,2015/2016,54,Oregon,0.999999966397939
Historical Average,2015/2016,54,Oregon,3.31844137449182e-08
Subtype Historical Average,2015/2016,54,Oregon,4.17646819698382e-10
Dynamic Harmonic Model,2016/2017,54,Oregon,0.999999870767735
Historical Average,2016/2017,54,Oregon,1.27497568698898e-07
Subtype Historical Average,2016/2017,54,Oregon,1.73469665054538e-09
Dynamic Harmonic Model,2017/2018,54,Oregon,0.999999881402693
Historical Average,2017/2018,54,Oregon,1.15545047417022e-07
Subtype Historical Average,2017/2018,54,Oregon,3.05225926123475e-09
Dynamic Harmonic Model,2014/2015,55,Oregon,0.999999848220202
Historical Average,2014/2015,55,Oregon,1.16919425812768e-07
Subtype Historical Average,2014/2015,55,Oregon,3.4860372596106e-08
Dynamic Harmonic Model,2015/2016,55,Oregon,0.999999922516887
Historical Average,2015/2016,55,Oregon,7.72514396743199e-08
Subtype Historical Average,2015/2016,55,Oregon,2.31673762948465e-10
Dynamic Harmonic Model,2016/2017,55,Oregon,0.999999600929868
Historical Average,2016/2017,55,Oregon,3.9883161173226e-07
Subtype Historical Average,2016/2017,55,Oregon,2.38520321113125e-10
Dynamic Harmonic Model,2017/2018,55,Oregon,0.999999672191693
