component_model_id,season,Model Week,location,weight
Dynamic Harmonic Model,2016/2017,43,Delaware,0.9999994156077
Dynamic Harmonic Model,2016/2017,44,Delaware,0.9999994156077
Historical Average,2016/2017,40,Delaware,5.3158088012038e-07
Historical Average,2016/2017,41,Delaware,5.3158088012038e-07
Historical Average,2016/2017,42,Delaware,5.3158088012038e-07
Historical Average,2016/2017,43,Delaware,5.3158088012038e-07
Historical Average,2016/2017,44,Delaware,5.3158088012038e-07
Subtype Historical Average,2016/2017,40,Delaware,5.2811420309199e-08
Subtype Historical Average,2016/2017,41,Delaware,5.2811420309199e-08
Subtype Historical Average,2016/2017,42,Delaware,5.2811420309199e-08
Subtype Historical Average,2016/2017,43,Delaware,5.2811420309199e-08
Subtype Historical Average,2016/2017,44,Delaware,5.2811420309199e-08
Dynamic Harmonic Model,2017/2018,40,Delaware,0.99999976567787
Dynamic Harmonic Model,2017/2018,41,Delaware,0.99999976567787
Dynamic Harmonic Model,2017/2018,42,Delaware,0.99999976567787
Dynamic Harmonic Model,2017/2018,43,Delaware,0.99999976567787
Dynamic Harmonic Model,2017/2018,44,Delaware,0.99999976567787
Historical Average,2017/2018,40,Delaware,1.45292887856178e-07
Historical Average,2017/2018,41,Delaware,1.45292887856178e-07
Historical Average,2017/2018,42,Delaware,1.45292887856178e-07
Historical Average,2017/2018,43,Delaware,1.45292887856178e-07
Historical Average,2017/2018,44,Delaware,1.45292887856178e-07
Subtype Historical Average,2017/2018,40,Delaware,8.90292425595403e-08
Subtype Historical Average,2017/2018,41,Delaware,8.90292425595403e-08
Subtype Historical Average,2017/2018,42,Delaware,8.90292425595403e-08
Subtype Historical Average,2017/2018,43,Delaware,8.90292425595403e-08
Subtype Historical Average,2017/2018,44,Delaware,8.90292425595403e-08
Dynamic Harmonic Model,2014/2015,45,Delaware,0.99999980754651
Dynamic Harmonic Model,2014/2015,46,Delaware,0.99999980754651
Dynamic Harmonic Model,2014/2015,47,Delaware,0.99999980754651
Dynamic Harmonic Model,2014/2015,48,Delaware,0.99999980754651
Historical Average,2014/2015,45,Delaware,1.67107854213051e-07
Historical Average,2014/2015,46,Delaware,1.67107854213051e-07
Historical Average,2014/2015,47,Delaware,1.67107854213051e-07
Historical Average,2014/2015,48,Delaware,1.67107854213051e-07
Subtype Historical Average,2014/2015,45,Delaware,2.53456361350515e-08
Subtype Historical Average,2014/2015,46,Delaware,2.53456361350515e-08
Subtype Historical Average,2014/2015,47,Delaware,2.53456361350515e-08
Subtype Historical Average,2014/2015,48,Delaware,2.53456361350515e-08
Dynamic Harmonic Model,2015/2016,45,Delaware,0.999999864993507
Dynamic Harmonic Model,2015/2016,46,Delaware,0.999999864993507
Dynamic Harmonic Model,2015/2016,47,Delaware,0.999999864993507
Dynamic Harmonic Model,2015/2016,48,Delaware,0.999999864993507
Historical Average,2015/2016,45,Delaware,1.10727990169041e-07
Historical Average,2015/2016,46,Delaware,1.10727990169041e-07
